"","505","505","505","505","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"
"Abbeyvale","","","","","07:30","08:00","08:30","09:00","09:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:30","17:00","17:15","17:45","18:00","18:30","18:45","19:30","20:30","21:00","21:30"
"Swords Manor","","","","","07:31","08:01","08:31","09:01","09:31","10:01","10:31","11:01","11:31","12:01","12:31","13:01","13:31","14:01","14:31","15:01","15:31","16:31","17:01","17:16","17:46","18:01","18:31","18:46","19:31","20:31","21:01","21:31"
"Valley View","","","","","07:31","08:01","08:31","09:01","09:31","10:01","10:31","11:01","11:31","12:01","12:31","13:01","13:31","14:01","14:31","15:01","15:31","16:31","17:01","17:16","17:46","18:01","18:31","18:46","19:31","20:31","21:01","21:31"
"The Gallops","","","","","07:31","08:01","08:31","09:01","09:31","10:01","10:31","11:01","11:31","12:01","12:31","13:01","13:31","14:01","14:31","15:01","15:31","16:31","17:01","17:16","17:46","18:01","18:31","18:46","19:31","20:31","21:01","21:31"
"Lios Cian","","","","","07:32","08:02","08:32","09:02","09:32","10:02","10:32","11:02","11:32","12:02","12:32","13:02","13:32","14:02","14:32","15:02","15:32","16:32","17:02","17:17","17:47","18:02","18:32","18:47","19:32","20:32","21:02","21:32"
"Cianlea","","","","","07:32","08:02","08:32","09:02","09:32","10:02","10:32","11:02","11:32","12:02","12:32","13:02","13:32","14:02","14:32","15:02","15:32","16:32","17:02","17:17","17:47","18:02","18:32","18:47","19:32","20:32","21:02","21:32"
"Laurelton","","","","","07:33","08:03","08:33","09:03","09:33","10:03","10:33","11:03","11:33","12:03","12:33","13:03","13:33","14:03","14:33","15:03","15:33","16:33","17:03","17:18","17:48","18:03","18:33","18:48","19:33","20:33","21:03","21:33"
"Applewood Estate","","","","","07:35","08:05","08:35","09:05","09:35","10:05","10:35","11:05","11:35","12:05","12:35","13:05","13:35","14:05","14:35","15:05","15:35","16:35","17:05","17:20","17:50","18:05","18:35","18:50","19:35","20:35","21:05","21:35"
"Jugback Lane","","","","","07:36","08:06","08:36","09:06","09:36","10:06","10:36","11:06","11:36","12:06","12:36","13:06","13:36","14:06","14:36","15:06","15:36","16:36","17:06","17:21","17:51","18:06","18:36","18:51","19:36","20:36","21:06","21:36"
"Saint Colmcille's GFC","","","","","07:37","08:07","08:37","09:07","09:37","10:07","10:37","11:07","11:37","12:07","12:37","13:07","13:37","14:07","14:37","15:07","15:37","16:37","17:07","17:22","17:52","18:07","18:37","18:52","19:37","20:37","21:07","21:37"
"West Seatown","","","","","07:38","08:08","08:38","09:08","09:38","10:08","10:38","11:08","11:38","12:08","12:38","13:08","13:38","14:08","14:38","15:08","15:38","16:38","17:08","17:23","17:53","18:08","18:38","18:53","19:38","20:38","21:08","21:38"
"Seatown Road","","","","","07:39","08:09","08:39","09:09","09:39","10:09","10:39","11:09","11:39","12:09","12:39","13:09","13:39","14:09","14:39","15:09","15:39","16:39","17:09","17:24","17:54","18:09","18:39","18:54","19:39","20:39","21:09","21:39"
"Swords Bypass","","","","","07:40","08:10","08:40","09:10","09:40","10:10","10:40","11:10","11:40","12:10","12:40","13:10","13:40","14:10","14:40","15:10","15:40","16:40","17:10","17:25","17:55","18:10","18:40","18:55","19:40","20:40","21:10","21:40"
"Malahide Roundabout","","","","","07:41","08:11","08:41","09:11","09:41","10:11","10:41","11:11","11:41","12:11","12:41","13:11","13:41","14:11","14:41","15:11","15:41","16:41","17:11","17:26","17:56","18:11","18:41","18:56","19:41","20:41","21:11","21:41"
"Pavilions Shopping Centre","","","","","07:42","08:12","08:42","09:12","09:42","10:12","10:42","11:12","11:42","12:12","12:42","13:12","13:42","14:12","14:42","15:12","15:42","16:42","17:12","17:27","17:57","18:12","18:42","18:57","19:42","20:42","21:12","21:42"
"Dublin Road (Penneys)","","","","","07:43","08:13","08:43","09:13","09:43","10:13","10:43","11:13","11:43","12:13","12:43","13:13","13:43","14:13","14:43","15:13","15:43","16:43","17:13","17:28","17:58","18:13","18:43","18:58","19:43","20:43","21:13","21:43"
"Highfields","","","","","07:45","08:15","08:45","09:15","09:45","10:15","10:45","11:15","11:45","12:15","12:45","13:15","13:45","14:15","14:45","15:15","15:45","16:45","17:15","17:30","18:00","18:15","18:45","19:00","19:45","20:45","21:15","21:45"
"Ballintrane","","","","","07:46","08:16","08:46","09:16","09:46","10:16","10:46","11:16","11:46","12:16","12:46","13:16","13:46","14:16","14:46","15:16","15:46","16:46","17:16","17:31","18:01","18:16","18:46","19:01","19:46","20:46","21:16","21:46"
"River Valley Lawn","12:10","13:10","08:10","11:10","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"River Valley Heights","12:11","13:11","08:11","11:11","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cherry Gareth Estate","12:11","13:11","08:11","11:11","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rathingle (Forest View)","12:12","13:12","08:12","11:12","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cherry Avenue","12:13","13:13","08:13","11:13","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rathingle Road","12:14","13:14","08:14","11:14","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boroimhe Laurels","12:15","13:15","08:15","11:15","07:48","08:18","08:48","09:18","09:48","10:18","10:48","11:18","11:48","12:18","12:48","13:18","13:48","14:18","14:48","15:18","15:48","16:48","17:18","17:33","18:03","18:18","18:48","19:03","19:48","20:48","21:18","21:48"
"Boroimhe Maples","12:16","13:16","08:16","11:16","07:49","08:19","08:49","09:19","09:49","10:19","10:49","11:19","11:49","12:19","12:49","13:19","13:49","14:19","14:49","15:19","15:49","16:49","17:19","17:34","18:04","18:19","18:49","19:04","19:49","20:49","21:19","21:49"
"Airside Road","12:17","13:17","08:17","11:17","07:50","08:20","08:50","09:20","09:50","10:20","10:50","11:20","11:50","12:20","12:50","13:20","13:50","14:20","14:50","15:20","15:50","16:50","17:20","17:35","18:05","18:20","18:50","19:05","19:50","20:50","21:20","21:50"
"Airside Central","12:18","13:18","08:18","11:18","07:51","08:21","08:51","09:21","09:51","10:21","10:51","11:21","11:51","12:21","12:51","13:21","13:51","14:21","14:51","15:21","15:51","16:51","17:21","17:36","18:06","18:21","18:51","19:06","19:51","20:51","21:21","21:51"
"Holywell Distributor Road","12:19","13:19","08:19","11:19","07:52","08:22","08:52","09:22","09:52","10:22","10:52","11:22","11:52","12:22","12:52","13:22","13:52","14:22","14:52","15:22","15:52","16:52","17:22","17:37","18:07","18:22","18:52","19:07","19:52","20:52","21:22","21:52"
"M1 Drinan","12:20","13:20","08:20","11:20","07:53","08:23","08:53","09:23","09:53","10:23","10:53","11:23","11:53","12:23","12:53","13:23","13:53","14:23","14:53","15:23","15:53","16:53","17:23","17:38","18:08","18:23","18:53","19:08","19:53","20:53","21:23","21:53"
"East Wall Road","12:31","13:31","08:31","11:31","08:04","08:34","09:04","09:34","10:04","10:34","11:04","11:34","12:04","12:34","13:04","13:34","14:04","14:34","15:04","15:34","16:04","17:04","17:34","17:49","18:19","18:34","19:04","19:19","20:04","21:04","21:34","22:04"
"Convention Centre","12:34","13:34","08:34","11:34","08:07","08:37","09:07","09:37","10:07","10:37","11:07","11:37","12:07","12:37","13:07","13:37","14:07","14:37","15:07","15:37","16:07","17:07","17:37","17:52","18:22","18:37","19:07","19:22","20:07","21:07","21:37","22:07"
"Seán O'Casey Pedestrian Bridge","12:37","13:37","08:37","11:37","08:10","08:40","09:10","09:40","10:10","10:40","11:10","11:40","12:10","12:40","13:10","13:40","14:10","14:40","15:10","15:40","16:10","17:10","17:40","17:55","18:25","18:40","19:10","19:25","20:10","21:10","21:40","22:10"
"Eden Quay","12:40","13:40","08:40","11:40","08:13","08:43","09:13","09:43","10:13","10:43","11:13","11:43","12:13","12:43","13:13","13:43","14:13","14:43","15:13","15:43","16:13","17:13","17:43","17:58","18:28","18:43","19:13","19:28","20:13","21:13","21:43","22:13"