"","500","500","500","500","500","500","500","505","500","500","505","500"
"Eden Quay","09:45","10:45","19:45","20:45","12:45","13:45","14:45","15:45","16:45","17:45","18:15","18:45"
"IFSC","09:46","10:46","19:46","20:46","12:46","13:46","14:46","15:46","16:46","17:46","18:16","18:46"
"Custom House Quay (Jury's)","09:47","10:47","19:47","20:47","12:47","13:47","14:47","15:47","16:47","17:47","18:17","18:47"
"Custom House Quay (Clarion)","09:48","10:48","19:48","20:48","12:48","13:48","14:48","15:48","16:48","17:48","18:18","18:48"
"North Wall Quay","09:49","10:49","19:49","20:49","12:49","13:49","14:49","15:49","16:49","17:49","18:19","18:49"
"Point Depot (North Wall Quay)","09:50","10:50","19:50","20:50","12:50","13:50","14:50","15:50","16:50","17:50","18:20","18:50"
"Point Depot (East Wall Road)","09:51","10:51","19:51","20:51","12:51","13:51","14:51","15:51","16:51","17:51","18:21","18:51"
"Holywell Distributor Road","10:02","11:02","20:02","21:02","13:02","14:02","15:02","16:02","17:02","18:02","18:32","19:02"
"Airside Central","10:04","11:04","20:04","21:04","13:04","14:04","15:04","16:04","17:04","18:04","18:34","19:04"
"Boroimhe Maples","10:06","11:06","20:06","21:06","13:06","14:06","15:06","16:06","17:06","18:06","18:36","19:06"
"Boroimhe Laurels","10:07","11:07","20:07","21:07","13:07","14:07","15:07","16:07","17:07","18:07","18:37","19:07"
"Rathingle Road","","","","","","","","16:08","","","18:38",""
"Cherry Avenue","","","","","","","","16:09","","","18:39",""
"Rathingle (Forest View)","","","","","","","","16:10","","","18:40",""
"Cherry Gareth Estate","","","","","","","","16:11","","","18:41",""
"River Valley Heights","","","","","","","","16:11","","","18:41",""
"River Valley Lawn","","","","","","","","16:12","","","18:42",""
"Ballintrane","10:08","11:08","20:08","21:08","13:08","14:08","15:08","16:13","17:08","18:08","18:43","19:08"
"Highfields","10:09","11:09","20:09","21:09","13:09","14:09","15:09","16:14","17:09","18:09","18:44","19:09"
"Dublin Road (opp Penneys)","10:11","11:11","20:11","21:11","13:11","14:11","15:11","16:16","17:11","18:11","18:46","19:11"
"Malahide Roundabout","10:12","11:12","20:12","21:12","13:12","14:12","15:12","16:17","17:12","18:12","18:47","19:12"
"Seatown Road","10:14","11:14","20:14","21:14","13:14","14:14","15:14","","17:14","18:14","","19:14"
"West Seatown","10:16","11:16","20:16","21:16","13:16","14:16","15:16","","17:16","18:16","","19:16"
"Saint Colmcille's GFC","10:19","11:19","20:19","21:19","13:19","14:19","15:19","","17:19","18:19","","19:19"
"Jugback Lane","10:20","11:20","20:20","21:20","13:20","14:20","15:20","","17:20","18:20","","19:20"
"Applewood Estate","10:21","11:21","20:21","21:21","13:21","14:21","15:21","","17:21","18:21","","19:21"
"Laurelton","10:23","11:23","20:23","21:23","13:23","14:23","15:23","","17:23","18:23","","19:23"
"Cianlea","10:24","11:24","20:24","21:24","13:24","14:24","15:24","","17:24","18:24","","19:24"
"Ardcian","10:25","11:25","20:25","21:25","13:25","14:25","15:25","","17:25","18:25","","19:25"
"Lios Cian","10:26","11:26","20:26","21:26","13:26","14:26","15:26","","17:26","18:26","","19:26"
"Valley View","10:26","11:26","20:26","21:26","13:26","14:26","15:26","","17:26","18:26","","19:26"
"Saint Cronan's Sout","10:27","11:27","20:27","21:27","13:27","14:27","15:27","","17:27","18:27","","19:27"
"Swords Manor","10:28","11:28","20:28","21:28","13:28","14:28","15:28","","17:28","18:28","","19:28"